один сот, сто
два сот, двести
три сот, триста
четыре сот, четыреста
пять сот, пятьсот
шесть сот, шестьсот
семь сот, семьсот
восемь сот, восемьсот
девять сот, девятьсот
один тысяч, одна тысяча
два тысяч, две тысячи
три тысяч, три тысячи
четыре тысяч, четыре тысячи
один миллионов, один миллион
два миллионов, два миллиона
три миллионов, три миллиона
четыре миллионов, четыре миллиона
один миллиардов, один миллиард
два миллиардов, два миллиарда
три миллиардов, три миллиарда
четыре миллиардов, четыре миллиарда
